CURRENT DATE: 10/18/2019,INDEX CRIMES BY COUNTY FOR JUL - 2019 TO SEP - 2019,,,,,,,,,PAGE: 8,
<< Back to Document Map,,,,,,,,,,,
,,,,,,,,,,,
ORINumber,Agency,Population,Murder,Rape,Robbery,Assault,Burglary,Larceny,Auto Theft,Total,Months
,"Rate Per 100,000",,0,0,20.5,112.9,251.9,1720.6,156.3,2262.2,0
,Number of Clearances,,0,0,2,11,0,24,0,37,0
,Percent Cleared,,0,0,100,100,0,45,0,50,0
,Number of Arrests,,0,0,3,4,0,26,0,33,0
NJ0082400,WOOLWICH TWP PD,12636,,,,,,,,,
,Number of Offenses,,0,1,1,0,6,47,4,59,12
,"Rate Per 100,000",,0,7.9,34,0,99.5,710.8,31.6,883.8,0
,Number of Clearances,,0,0,0,0,0,4,1,5,0
,Percent Cleared,,0,0,0,0,0,58,100,45,0
,Number of Arrests,,0,0,0,1,1,2,1,5,0
,County Totals - Gloucester County,,,,,,,,,,
,Population,288555,,,,,,,,,
,Number of Offenses,,1,18,51.9,127,566.9,2733.1,164,3661.9,0
,"Rate Per 100,000",,0.3,6.2,16.2,44,193.7,917.9,56.9,1235.3,0
,Number of Clearances,,1,11,118,108,90,607,29,870,0
,Percent Cleared,,100,188,121,258,50,70,54,73,0
,Number of Arrests,,1,22,20,104,133,550,13,843,0
