Zip Code,City,County
8086,Thorofare,Gloucester
8087,Tuckerton,Ocean
8088,Vincentown,Burlington
8089,Waterford Works,Camden
8090,Wenonah,Gloucester
8091,West Berlin,Camden
8092,West Creek,Ocean
8093,Westville,Gloucester
8094,Williamstown,Gloucester
8095,Winslow,Camden
8096,Deptford,Gloucester
8096,Woodbury,Gloucester
8097,Woodbury Heights,Gloucester
8098,Woodstown,Salem
8099,Bellmawr,Camden
8101,Camden,Camden
8102,Camden,Camden
8103,Camden,Camden
8104,Camden,Camden
8104,Haddon Township,Camden
8105,Camden,Camden
8106,Audubon,Camden
8107,Haddon Township,Camden
8107,Oaklyn,Camden
8108,Collingswood,Camden
8108,Haddon Township,Camden
8109,Merchantville,Camden
8110,Pennsauken,Camden
8201,Absecon,Atlantic
8202,Avalon,Cape May
8203,Brigantine,Atlantic
8204,Cape May,Cape May
8205,Absecon,Atlantic
8210,Cape May Court House,Cape May
8212,Cape May Point,Cape May
8213,Cologne,Atlantic
8214,Dennisville,Cape May
8215,Egg Harbor City,Atlantic
8217,Elwood,Atlantic
8218,Goshen,Cape May
8219,Green Creek,Cape May
8220,Leeds Point,Atlantic
8221,Linwood,Atlantic
8223,Marmora,Cape May
8224,New Gretna,Burlington
8225,Northfield,Atlantic
8226,Ocean City,Cape May
8230,Ocean View,Cape May
8231,Oceanville,Atlantic
8232,Pleasantville,Atlantic
8234,Egg Harbor Township,Atlantic
8240,Pomona,Atlantic
8241,Port Republic,Atlantic
8242,Rio Grande,Cape May
8243,Sea Isle City,Cape May
8244,Somers Point,Atlantic
8245,South Dennis,Cape May
8246,South Seaville,Cape May
8247,Stone Harbor,Cape May
8248,Strathmere,Cape May
8250,Tuckahoe,Cape May
8251,Villas,Cape May
8252,Whitesboro,Cape May
8260,Wildwood,Cape May
8270,Woodbine,Cape May
8302,Bridgeton,Cumberland
8310,Buena,Atlantic
8311,Cedarville,Cumberland
8312,Clayton,Gloucester
8313,Deerfield Street,Cumberland
8314,Delmont,Cumberland
8315,Dividing Creek,Cumberland
8316,Dorchester,Cumberland
8317,Dorothy,Atlantic
8318,Elmer,Salem
8319,Estell Manor,Atlantic
8320,Fairton,Cumberland
8321,Fortescue,Cumberland
8322,Franklinville,Gloucester
8323,Greenwich,Cumberland
8324,Heislerville,Cumberland
8326,Landisville,Atlantic
8327,Leesburg,Cumberland
8328,Malaga,Gloucester
8329,Mauricetown,Cumberland
8330,Mays Landing,Atlantic
8332,Millville,Cumberland
8340,Milmay,Atlantic
8341,Minotola,Atlantic
8342,Mizpah,Atlantic
8343,Monroeville,Salem
8344,Newfield,Gloucester
8345,Newport,Cumberland
8346,Newtonville,Atlantic
8347,Norma,Salem
8348,Port Elizabeth,Cumberland
8349,Port Norris,Cumberland
8350,Richland,Atlantic
8352,Rosenhayn,Cumberland
8353,Shiloh,Cumberland
8360,Vineland,Cumberland
8361,Vineland,Cumberland
8362,Vineland,Cumberland
8401,Atlantic City,Atlantic
8402,Margate City,Atlantic
8403,Longport,Atlantic
8404,Atlantic City,Atlantic
8405,Atlantic City,Atlantic
8406,Ventnor City,Atlantic
8501,Allentown,Monmouth
8502,Belle Mead,Somerset
8504,Blawenburg,Somerset
8505,Bordentown,Burlington
8510,Millstone Township,Monmouth
8511,Cookstown,Burlington
8512,Cranbury,Middlesex
8514,Cream Ridge,Monmouth
8515,Chesterfield,Burlington
8518,Florence,Burlington
8520,Hightstown,Mercer
8525,Hopewell,Mercer
8526,Imlaystown,Monmouth
8527,Jackson,Ocean
8528,Kingston,Somerset
8530,Lambertville,Hunterdon
8533,New Egypt,Ocean
8534,Pennington,Mercer
8535,Perrineville,Monmouth
8536,Plainsboro,Middlesex
8540,Princeton,Mercer
8541,Princeton,Mercer
8542,Princeton,Mercer
8543,Princeton,Mercer
8544,Princeton,Mercer
8550,Princeton Junction,Mercer
8551,Ringoes,Hunterdon
8553,Rocky Hill,Somerset
8554,Roebling,Burlington
8555,Roosevelt,Monmouth
8556,Rosemont,Hunterdon
8557,Sergeantsville,Hunterdon
8558,Skillman,Somerset
8559,Stockton,Hunterdon
8560,Titusville,Mercer
8561,Windsor,Mercer
8562,Wrightstown,Burlington
8601,Trenton,Mercer
8602,Trenton,Mercer
8603,Trenton,Mercer
8604,Trenton,Mercer
8605,Trenton,Mercer
8606,Trenton,Mercer
8607,Trenton,Mercer
8608,Trenton,Mercer
8609,Trenton,Mercer
8610,Trenton,Mercer
8611,Trenton,Mercer
8618,Trenton,Mercer
8619,Trenton,Mercer
8620,Trenton,Mercer
8625,Trenton,Mercer
8628,Trenton,Mercer
8629,Trenton,Mercer
8638,Trenton,Mercer
8640,Fort Dix,Burlington
8641,Trenton,Burlington
8645,Trenton,Mercer
8646,Trenton,Mercer
8647,Trenton,Mercer
8648,Trenton,Mercer
8650,Trenton,Mercer
8666,Trenton,Mercer
8677,Trenton,Mercer
8690,Trenton,Mercer
8691,Trenton,Mercer
8695,Trenton,Mercer
8701,Lakewood,Ocean
8720,Allenwood,Monmouth
8721,Bayville,Ocean
8722,Beachwood,Ocean
8723,Brick,Ocean
8724,Brick,Ocean
8730,Brielle,Monmouth
8731,Forked River,Ocean
8732,Island Heights,Ocean
8733,Lakehurst,Ocean
8734,Lanoka Harbor,Ocean
8735,Lavallette,Ocean
8736,Manasquan,Monmouth
8738,Mantoloking,Ocean
8739,Normandy Beach,Ocean
8740,Ocean Gate,Ocean
8741,Pine Beach,Ocean
8742,Point Pleasant Beach,Ocean
8750,Sea Girt,Monmouth
8751,Seaside Heights,Ocean
8752,Seaside Park,Ocean
8753,Toms River,Ocean
8754,Toms River,Ocean
8755,Toms River,Ocean
8756,Toms River,Ocean
8757,Toms River,Ocean
8758,Waretown,Ocean
8759,Manchester Township,Ocean
